year,month,total_rainfall,rainy_days,sunshine_hrs,air_temp
1995,11,372.8,20,3.7,24.1
1995,12,302.5,20,3.1,23.9
1996,1,173.2,10,5.2,23.4
1996,2,180.2,11,5.8,24.0
1996,3,129.7,8,7.7,24.5
1996,4,178.2,15,5.4,24.9
1996,5,107.5,15,7.0,25.2
1996,6,265.8,15,5.9,25.3
1996,7,162.3,10,6.7,25.4
1996,8,258.4,18,5.0,24.3
1996,9,297.0,18,4.8,24.6
1996,10,300.0,19,4.3,24.4
1996,11,180.2,16,4.4,24.6
1996,12,185.5,15,4.5,23.9
1997,1,15.4,3,7.7,24.0
1997,2,105.4,8,4.9,24.5
1997,3,34.3,10,7.0,24.9
1997,4,118.4,12,5.6,25.0
1997,5,41.6,6,6.7,26.3
1997,6,78.9,12,7.3,26.0
1997,7,18.6,9,6.5,26.0
1997,8,86.6,9,5.7,25.9
1997,9,31.1,3,3.2,26.3
1997,10,78.4,8,3.2,25.1
1997,11,158.3,13,5.4,24.8
1997,12,351.9,23,5.3,24.6
1998,1,268.8,13,7.4,25.3
1998,2,32.5,5,8.9,25.9
1998,3,58.8,7,7.6,26.3
1998,4,187.7,13,6.7,26.3
1998,5,370.8,18,5.9,26.3
1998,6,198.8,15,5.3,25.4
1998,7,259.2,18,5.1,24.9
1998,8,195.0,18,4.6,24.7
1998,9,258.2,17,4.5,24.9
1998,10,222.7,20,5.0,24.6
1998,11,107.2,11,4.6,24.9
1998,12,463.4,22,3.1,24.2
1999,1,193.9,19,3.9,24.3
1999,2,67.4,9,6.7,24.5
1999,3,181.4,16,4.3,24.4
1999,4,88.5,14,5.8,25.4
1999,5,157.1,13,5.7,25.3
1999,6,103.4,13,6.0,25.3
1999,7,225.4,11,6.8,24.7
1999,8,204.0,13,5.7,24.5
1999,9,125.9,13,6.5,24.9
1999,10,205.0,20,4.7,24.3
1999,11,241.5,19,4.7,24.5
1999,12,340.5,17,4.1,24.1
2000,1,275.2,14,4.0,23.9
2000,2,237.8,18,5.8,23.8
2000,3,238.3,15,5.8,24.3
2000,4,311.6,20,5.3,24.6
2000,5,96.8,10,6.8,25.7
2000,6,157.5,16,4.6,24.7
2000,7,116.1,12,6.5,25.3
2000,8,113.5,18,5.1,24.8
2000,9,81.1,12,6.2,25.2
2000,10,120.9,14,4.0,24.9
2000,11,385.7,21,3.7,24.7
2000,12,236.0,18,4.2,24.4
2001,1,425.8,21,4.4,24.0
2001,2,86.6,11,4.8,24.5
2001,3,297.3,20,5.4,24.2
2001,4,203.3,18,5.3,25.1
2001,5,164.9,12,6.0,25.7
2001,6,137.1,11,4.9,25.4
2001,7,111.3,9,8.1,25.5
2001,8,158.3,14,4.9,25.2
2001,9,162.0,13,6.2,25.2
2001,10,252.2,20,4.4,24.7
2001,11,175.3,15,3.7,24.7
